Game,Date,year,Winning team,winning conference,Score,Losing team,Venue,City,city,state,Attendance,attendance,Ref
15 !XV,"01981-01-25-0000January 25, 1981",1981,Oakland Raiders 03 !Oakland Raiders† (3)[note 3],AFC,2710 !27–10,Philadelphia Eagles 01 !Philadelphia Eagles*,Louisiana Superdome 02 !Louisiana Superdome (2),"New Orleans, Louisiana 05 !New Orleans, Louisiana (5)",New Orleans, Louisiana,"076135 !76,135",76135,[25]
16 !XVI,"01982-01-24-0000January 24, 1982",1982,San Francisco 49ers 01 !San Francisco 49ers*,NFC,2621 !26–21,Cincinnati Bengals 01 !Cincinnati Bengals†,Pontiac Silverdome 01 !Pontiac Silverdome,"Detroit, Michigan 01 !Pontiac, Michigan[note 1]",Detroit, Michigan,"081270 !81,270",81270,[26]
17 !XVII,"01983-01-30-0000January 30, 1983",1983,Washington Redskins 02 !Washington Redskins* (2),NFC,2717 !27–17,Miami Dolphins 04 !Miami Dolphins† (4),Rose Bowl 03 !Rose Bowl (3),"Pasadena, California 05 !Pasadena, California (5)[note 1]",Pasadena, California,"103667 !103,667",103667,[27]
18 !XVIII,"01984-01-22-0000January 22, 1984",1984,Oakland Raiders 04 !Los Angeles Raiders† (4),AFC,3809 !38–9,Washington Redskins 03 !Washington Redskins* (3),Tampa Stadium 01 !Tampa Stadium,"Tampa, Florida 01 !Tampa, Florida",Tampa, Florida,"072920 !72,920",72920,[28]
19 !XIX,"01985-01-20-0000January 20, 1985",1985,San Francisco 49ers 02 !San Francisco 49ers* (2),NFC,3816 !38–16,Miami Dolphins 05 !Miami Dolphins† (5),Stanford Stadium 01 !Stanford Stadium,"Santa Clara, California 01 !Stanford, California[note 1]",Santa Clara, California,"084059 !84,059",84059,[29]
20 !XX,"01986-01-26-0000January 26, 1986",1986,Chicago Bears 01 !Chicago Bears*,NFC,4610 !46–10,New England Patriots 01 !New England Patriots†[note 3],Louisiana Superdome 03 !Louisiana Superdome (3),"New Orleans, Louisiana 06 !New Orleans, Louisiana (6)",New Orleans, Louisiana,"073818 !73,818",73818,[30]
21 !XXI,"01987-01-25-0000January 25, 1987",1987,New York Giants 01 !New York Giants*,NFC,3920 !39–20,Denver Broncos 02 !Denver Broncos† (2),Rose Bowl 04 !Rose Bowl (4),"Pasadena, California 06 !Pasadena, California (6)[note 1]",Pasadena, California,"101063 !101,063",101063,[31]
22 !XXII,"01988-01-31-0000January 31, 1988",1988,Washington Redskins 04 !Washington Redskins* (4),NFC,4210 !42–10,Denver Broncos 03 !Denver Broncos† (3),Jack Murphy Stadium 01 !Jack Murphy Stadium[note 4],"San Diego, California 01 !San Diego, California",San Diego, California,"073302 !73,302",73302,[36]
23 !XXIII,"01989-01-22-0000January 22, 1989",1989,San Francisco 49ers 03 !San Francisco 49ers* (3),NFC,2016 !20–16,Cincinnati Bengals 02 !Cincinnati Bengals† (2),Joe Robbie Stadium 01 !Joe Robbie Stadium[note 4],"Miami, Florida 06 !Miami Gardens, Florida (6)[note 2]",Miami, Florida,"075129 !75,129",75129,[37]
24 !XXIV,"01990-01-28-0000January 28, 1990",1990,San Francisco 49ers 04 !San Francisco 49ers* (4),NFC,5510 !55–10,Denver Broncos 04 !Denver Broncos† (4),Louisiana Superdome 04 !Louisiana Superdome (4),"New Orleans, Louisiana 07 !New Orleans, Louisiana (7)",New Orleans, Louisiana,"072919 !72,919",72919,[38]
25 !XXV,"01991-01-27-0000January 27, 1991",1991,New York Giants 02 !New York Giants* (2),NFC,2019 !20–19,Buffalo Bills 01 !Buffalo Bills†,Tampa Stadium 02 !Tampa Stadium (2),"Tampa, Florida 02 !Tampa, Florida (2)",Tampa, Florida,"073813 !73,813",73813,[39]
26 !XXVI,"01992-01-26-0000January 26, 1992",1992,Washington Redskins 05 !Washington Redskins* (5),NFC,3724 !37–24,Buffalo Bills 02 !Buffalo Bills† (2),Metrodome 01 !Metrodome,"Minneapolis, Minnesota !Minneapolis, Minnesota",Minneapolis, Minnesota,"063130 !63,130",63130,[40]
27 !XXVII,"01993-01-31-0000January 31, 1993",1993,Dallas Cowboys 06 !Dallas Cowboys* (6),NFC,5217 !52–17,Buffalo Bills 03 !Buffalo Bills† (3)[note 3],Rose Bowl 05 !Rose Bowl (5),"Pasadena, California 07 !Pasadena, California (7)[note 1]",Pasadena, California,"098374 !98,374",98374,[41]
28 !XXVIII,"01994-01-30-0000January 30, 1994",1994,Dallas Cowboys 07 !Dallas Cowboys* (7),NFC,3013 !30–13,Buffalo Bills 04 !Buffalo Bills† (4),Georgia Dome 01 !Georgia Dome,"Atlanta, Georgia 01 !Atlanta, Georgia",Atlanta, Georgia,"072817 !72,817",72817,[42]
29 !XXIX,"01995-01-29-0000January 29, 1995",1995,San Francisco 49ers 05 !San Francisco 49ers* (5),NFC,4926 !49–26,San Diego Chargers 01 !San Diego Chargers†,Joe Robbie Stadium 02 !Joe Robbie Stadium (2)[note 4],"Miami, Florida 07 !Miami Gardens, Florida (7)[note 2]",Miami, Florida,"074107 !74,107",74107,[43]
30 !XXX,"01996-01-28-0000January 28, 1996",1996,Dallas Cowboys 08 !Dallas Cowboys* (8),NFC,2717 !27–17,Pittsburgh Steelers 05 !Pittsburgh Steelers† (5),Sun Devil Stadium 01 !Sun Devil Stadium,"Glendale, Arizona 01 !Tempe, Arizona[note 1]",Glendale, Arizona,"076347 !76,347",76347,[44]
31 !XXXI,"01997-01-26-0000January 26, 1997",1997,Green Bay Packers 03 !Green Bay Packers* (3),NFC,3521 !35–21,New England Patriots 02 !New England Patriots† (2),Louisiana Superdome 05 !Louisiana Superdome (5),"New Orleans, Louisiana 08 !New Orleans, Louisiana (8)",New Orleans, Louisiana,"072301 !72,301",72301,[45]
32 !XXXII,"01998-01-25-0000January 25, 1998",1998,Denver Broncos 05 !Denver Broncos† (5)[note 3],AFC,3124 !31–24,Green Bay Packers 04 !Green Bay Packers* (4),Jack Murphy Stadium 02 !Qualcomm Stadium (2)[note 4],"San Diego, California 02 !San Diego, California (2)",San Diego, California,"068912 !68,912",68912,[46]
33 !XXXIII,"01999-01-31-0000January 31, 1999",1999,Denver Broncos 06 !Denver Broncos† (6),AFC,3419 !34–19,Atlanta Falcons 01 !Atlanta Falcons*,Joe Robbie Stadium 03 !Pro Player Stadium (3)[note 4],"Miami, Florida 08 !Miami Gardens, Florida (8)[note 2]",Miami, Florida,"074803 !74,803",74803,[47]
34 !XXXIV,"02000-01-30-0000January 30, 2000",2000,St. Louis Rams 02 !St. Louis Rams* (2),NFC,2316 !23–16,Tennessee Titans 01 !Tennessee Titans†[note 3],Georgia Dome 02 !Georgia Dome (2),"Atlanta, Georgia 02 !Atlanta, Georgia (2)",Atlanta, Georgia,"072625 !72,625",72625,[48]
35 !XXXV,"02001-01-28-0000January 28, 2001",2001,Baltimore Ravens 01 !Baltimore Ravens†[note 3],AFC,3407 !34–7,New York Giants 03 !New York Giants* (3),Raymond James Stadium 01 !Raymond James Stadium,"Tampa, Florida 03 !Tampa, Florida (3)",Tampa, Florida,"071921 !71,921",71921,[49]
36 !XXXVI,"02002-02-03-0000February 3, 2002",2002,New England Patriots 03 !New England Patriots† (3),AFC,2017 !20–17,St. Louis Rams 03 !St. Louis Rams* (3),Louisiana Superdome 06 !Louisiana Superdome (6),"New Orleans, Louisiana 09 !New Orleans, Louisiana (9)",New Orleans, Louisiana,"072922 !72,922",72922,[50]
37 !XXXVII,"02003-01-26-0000January 26, 2003",2003,Tampa Bay Buccaneers 01 !Tampa Bay Buccaneers*,NFC,4821 !48–21,Oakland Raiders 05 !Oakland Raiders† (5),Jack Murphy Stadium 03 !Qualcomm Stadium (3)[note 4],"San Diego, California 03 !San Diego, California (3)",San Diego, California,"067603 !67,603",67603,[51]
38 !XXXVIII,"02004-02-01-0000February 1, 2004",2004,New England Patriots 04 !New England Patriots† (4),AFC,3229 !32–29,Carolina Panthers 01 !Carolina Panthers*,NRG Stadium 01 !Reliant Stadium[note 4],"Houston, Texas 02 !Houston, Texas (2)",Houston, Texas,"071525 !71,525",71525,[52]
39 !XXXIX,"02005-02-06-0000February 6, 2005",2005,New England Patriots 05 !New England Patriots† (5),AFC,2421 !24–21,Philadelphia Eagles 02 !Philadelphia Eagles* (2),ALLTEL Stadium 01 !ALLTEL Stadium,"Jacksonville, Florida 01 !Jacksonville, Florida",Jacksonville, Florida,"078125 !78,125",78125,[53]
40 !XL,"02006-02-05-0000February 5, 2006",2006,Pittsburgh Steelers 06 !Pittsburgh Steelers† (6)[note 3],AFC,2110 !21–10,Seattle Seahawks 01 !Seattle Seahawks*,Ford Field 01 !Ford Field,"Detroit, Michigan 02 !Detroit, Michigan (2)[note 1]",Detroit, Michigan,"068206 !68,206",68206,[54]
41 !XLI,"02007-02-04-0000February 4, 2007",2007,Indianapolis Colts 03 !Indianapolis Colts† (3),AFC,2917 !29–17,Chicago Bears 02 !Chicago Bears* (2),Joe Robbie Stadium 04 !Dolphin Stadium (4)[note 4],"Miami, Florida 09 !Miami Gardens, Florida (9)[note 2]",Miami, Florida,"074512 !74,512",74512,[55]
42 !XLII,"02008-02-03-0000February 3, 2008",2008,New York Giants 04 !New York Giants* (4)[note 3],NFC,1714 !17–14,New England Patriots 06 !New England Patriots† (6),University of Phoenix Stadium 01 !University of Phoenix Stadium,"Glendale, Arizona 02 !Glendale, Arizona (2)[note 1]",Glendale, Arizona,"071101 !71,101",71101,[56]
43 !XLIII,"02009-02-01-0000February 1, 2009",2009,Pittsburgh Steelers 07 !Pittsburgh Steelers† (7),AFC,2723 !27–23,Arizona Cardinals 01 !Arizona Cardinals*,Raymond James Stadium 02 !Raymond James Stadium (2),"Tampa, Florida 04 !Tampa, Florida (4)",Tampa, Florida,"070774 !70,774",70774,[57]
44 !XLIV,"02010-02-07-0000February 7, 2010",2010,New Orleans Saints 01 !New Orleans Saints*,NFC,3117 !31–17,Indianapolis Colts 04 !Indianapolis Colts† (4),Joe Robbie Stadium 05 !Sun Life Stadium (5)[note 4],"Miami, Florida 10 !Miami Gardens, Florida (10)[note 2]",Miami, Florida,"074059 !74,059",74059,[58]
45 !XLV,"02011-02-06-0000February 6, 2011",2011,Green Bay Packers 05 !Green Bay Packers* (5)[note 3],NFC,3125 !31–25,Pittsburgh Steelers 08 !Pittsburgh Steelers† (8),Cowboys Stadium 01 !Cowboys Stadium,"Arlington, Texas 01 !Arlington, Texas",Arlington, Texas,"103219 !103,219",103219,[59]
46 !XLVI,"02012-02-05-0000February 5, 2012",2012,New York Giants 05 !New York Giants* (5),NFC,2117 !21–17,New England Patriots 07 !New England Patriots† (7),Lucas Oil Stadium 01 !Lucas Oil Stadium,"Indianapolis, Indiana 01 !Indianapolis, Indiana",Indianapolis, Indiana,"068658 !68,658",68658,[60][61]
47 !XLVII,"02013-02-03-0000February 3, 2013",2013,Baltimore Ravens 02 !Baltimore Ravens† (2),AFC,3431 !34–31,San Francisco 49ers 06 !San Francisco 49ers* (6),Louisiana Superdome 07 !Mercedes-Benz Superdome (7),"New Orleans, Louisiana 10 !New Orleans, Louisiana (10)",New Orleans, Louisiana,"071024 !71,024",71024,[60][62]
48 !XLVIII,"02014-02-02-0000February 2, 2014",2014,Seattle Seahawks 02 !Seattle Seahawks* (2),NFC,4308 !43–8,Denver Broncos 07 !Denver Broncos† (7),MetLife Stadium 01 !MetLife Stadium,"East Rutherford, New Jersey !East Rutherford, New Jersey",East Rutherford, New Jersey,"082529 !82,529",82529,[63]
49 !XLIX,"02015-02-01-0000February 1, 2015",2015,New England Patriots 08 !New England Patriots† (8),AFC,2824 !28–24,Seattle Seahawks 03 !Seattle Seahawks* (3),University of Phoenix Stadium 02 !University of Phoenix Stadium (2),"Glendale, Arizona 03 !Glendale, Arizona (3)[note 1]",Glendale, Arizona,"070288 !70,288",70288,[64][65]
