Game,Date,Winning team,Score,Losing team,Venue,City,Attendance,Ref
11 !XI,"01977-01-09-0000January 9, 1977",Oakland Raiders 02 !Oakland Raiders† (2),3214 !32–14,Minnesota Vikings 04 !Minnesota Vikings* (4),Rose Bowl 01 !Rose Bowl,"Pasadena, California 03 !Pasadena, California (3)[note 1]","103438 !103,438",[21]
12 !XII,"01978-01-15-0000January 15, 1978",Dallas Cowboys 04 !Dallas Cowboys* (4),2710 !27–10,Denver Broncos 01 !Denver Broncos†,Louisiana Superdome 01 !Louisiana Superdome,"New Orleans, Louisiana 04 !New Orleans, Louisiana (4)","076400 !76,400",[22]
13 !XIII,"01979-01-21-0000January 21, 1979",Pittsburgh Steelers 03 !Pittsburgh Steelers† (3),3531 !35–31,Dallas Cowboys 05 !Dallas Cowboys* (5),Orange Bowl 05 !Orange Bowl (5),"Miami, Florida 05 !Miami, Florida (5)[note 2]","079484 !79,484",[23]
14 !XIV,"01980-01-20-0000January 20, 1980",Pittsburgh Steelers 04 !Pittsburgh Steelers† (4),3119 !31–19,St. Louis Rams 01 !Los Angeles Rams*,Rose Bowl 02 !Rose Bowl (2),"Pasadena, California 04 !Pasadena, California (4)[note 1]","103985 !103,985",[24]
15 !XV,"01981-01-25-0000January 25, 1981",Oakland Raiders 03 !Oakland Raiders† (3)[note 3],2710 !27–10,Philadelphia Eagles 01 !Philadelphia Eagles*,Louisiana Superdome 02 !Louisiana Superdome (2),"New Orleans, Louisiana 05 !New Orleans, Louisiana (5)","076135 !76,135",[25]
16 !XVI,"01982-01-24-0000January 24, 1982",San Francisco 49ers 01 !San Francisco 49ers*,2621 !26–21,Cincinnati Bengals 01 !Cincinnati Bengals†,Pontiac Silverdome 01 !Pontiac Silverdome,"Detroit, Michigan 01 !Pontiac, Michigan[note 1]","081270 !81,270",[26]
17 !XVII,"01983-01-30-0000January 30, 1983",Washington Redskins 02 !Washington Redskins* (2),2717 !27–17,Miami Dolphins 04 !Miami Dolphins† (4),Rose Bowl 03 !Rose Bowl (3),"Pasadena, California 05 !Pasadena, California (5)[note 1]","103667 !103,667",[27]
18 !XVIII,"01984-01-22-0000January 22, 1984",Oakland Raiders 04 !Los Angeles Raiders† (4),3809 !38–9,Washington Redskins 03 !Washington Redskins* (3),Tampa Stadium 01 !Tampa Stadium,"Tampa, Florida 01 !Tampa, Florida","072920 !72,920",[28]
19 !XIX,"01985-01-20-0000January 20, 1985",San Francisco 49ers 02 !San Francisco 49ers* (2),3816 !38–16,Miami Dolphins 05 !Miami Dolphins† (5),Stanford Stadium 01 !Stanford Stadium,"Santa Clara, California 01 !Stanford, California[note 1]","084059 !84,059",[29]
20 !XX,"01986-01-26-0000January 26, 1986",Chicago Bears 01 !Chicago Bears*,4610 !46–10,New England Patriots 01 !New England Patriots†[note 3],Louisiana Superdome 03 !Louisiana Superdome (3),"New Orleans, Louisiana 06 !New Orleans, Louisiana (6)","073818 !73,818",[30]
21 !XXI,"01987-01-25-0000January 25, 1987",New York Giants 01 !New York Giants*,3920 !39–20,Denver Broncos 02 !Denver Broncos† (2),Rose Bowl 04 !Rose Bowl (4),"Pasadena, California 06 !Pasadena, California (6)[note 1]","101063 !101,063",[31]
22 !XXII,"01988-01-31-0000January 31, 1988",Washington Redskins 04 !Washington Redskins* (4),4210 !42–10,Denver Broncos 03 !Denver Broncos† (3),Jack Murphy Stadium 01 !Jack Murphy Stadium[note 4],"San Diego, California 01 !San Diego, California","073302 !73,302",[36]
23 !XXIII,"01989-01-22-0000January 22, 1989",San Francisco 49ers 03 !San Francisco 49ers* (3),2016 !20–16,Cincinnati Bengals 02 !Cincinnati Bengals† (2),Joe Robbie Stadium 01 !Joe Robbie Stadium[note 4],"Miami, Florida 06 !Miami Gardens, Florida (6)[note 2]","075129 !75,129",[37]
24 !XXIV,"01990-01-28-0000January 28, 1990",San Francisco 49ers 04 !San Francisco 49ers* (4),5510 !55–10,Denver Broncos 04 !Denver Broncos† (4),Louisiana Superdome 04 !Louisiana Superdome (4),"New Orleans, Louisiana 07 !New Orleans, Louisiana (7)","072919 !72,919",[38]
25 !XXV,"01991-01-27-0000January 27, 1991",New York Giants 02 !New York Giants* (2),2019 !20–19,Buffalo Bills 01 !Buffalo Bills†,Tampa Stadium 02 !Tampa Stadium (2),"Tampa, Florida 02 !Tampa, Florida (2)","073813 !73,813",[39]
26 !XXVI,"01992-01-26-0000January 26, 1992",Washington Redskins 05 !Washington Redskins* (5),3724 !37–24,Buffalo Bills 02 !Buffalo Bills† (2),Metrodome 01 !Metrodome,"Minneapolis, Minnesota !Minneapolis, Minnesota","063130 !63,130",[40]
27 !XXVII,"01993-01-31-0000January 31, 1993",Dallas Cowboys 06 !Dallas Cowboys* (6),5217 !52–17,Buffalo Bills 03 !Buffalo Bills† (3)[note 3],Rose Bowl 05 !Rose Bowl (5),"Pasadena, California 07 !Pasadena, California (7)[note 1]","098374 !98,374",[41]
28 !XXVIII,"01994-01-30-0000January 30, 1994",Dallas Cowboys 07 !Dallas Cowboys* (7),3013 !30–13,Buffalo Bills 04 !Buffalo Bills† (4),Georgia Dome 01 !Georgia Dome,"Atlanta, Georgia 01 !Atlanta, Georgia","072817 !72,817",[42]
29 !XXIX,"01995-01-29-0000January 29, 1995",San Francisco 49ers 05 !San Francisco 49ers* (5),4926 !49–26,San Diego Chargers 01 !San Diego Chargers†,Joe Robbie Stadium 02 !Joe Robbie Stadium (2)[note 4],"Miami, Florida 07 !Miami Gardens, Florida (7)[note 2]","074107 !74,107",[43]
30 !XXX,"01996-01-28-0000January 28, 1996",Dallas Cowboys 08 !Dallas Cowboys* (8),2717 !27–17,Pittsburgh Steelers 05 !Pittsburgh Steelers† (5),Sun Devil Stadium 01 !Sun Devil Stadium,"Glendale, Arizona 01 !Tempe, Arizona[note 1]","076347 !76,347",[44]
