Minnesota,,,,,,,,,,,,,,,,,,,,,*R*,*R*,*R*,*R*,*R*,*R*,,R,*R*,R,*R*,*R*,*R*,*R*,PR,R,*R*,,*R*,*R*,*D*,*D*,*D*,*D*,*D*,*R*,*R*,*D*,,*D*,D,*R*,*D*,D,D,D,*D*,*D*,D,,D,*D*,*D*,Minnesota,https://en.wikipedia.org/wiki/List_of_United_States_presidential_election_results_by_state
Mississippi,,,,,,,,,,*DR*,Jackson,*D*,*D*,*D*,*W*,,*D*,D,*D*,*D*,SD,,,*R*,D,D,,*D*,D,*D*,D,D,D,D,*D*,*D*,D,,D,D,*D*,*D*,*D*,*D*,SR,D,D,I,,R,AI,*R*,*D*,*R*,*R*,*R*,R,R,*R*,,*R*,R,R,Mississippi,https://en.wikipedia.org/wiki/List_of_United_States_presidential_election_results_by_state
State,1789,1792,1796,1800,,1804,1808,1812,1816,1820,1824,1828,1832,1836,1840,,1844,1848,1852,1856,1860,1864,1868,1872,1876,1880,,1884,1888,1892,1896,1900,1904,1908,1912,1916,1920,,1924,1928,1932,1936,1940,1944,1948,1952,1956,1960,,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,,2004,2008,2012,State,https://en.wikipedia.org/wiki/List_of_United_States_presidential_election_results_by_state
Missouri,,,,,,,,,,*DR*,Jackson,*D*,*D*,*D*,D,,*D*,D,*D*,*D*,ND,*R*,*R*,D,D,D,,*D*,D,*D*,D,D,*R*,*R*,*D*,*D*,*R*,,*R*,*R*,*D*,*D*,*D*,*D*,*D*,*R*,D,*D*,,*D*,*R*,*R*,*D*,*R*,*R*,*R*,*D*,*D*,*R*,,*R*,R,R,Missouri,https://en.wikipedia.org/wiki/List_of_United_States_presidential_election_results_by_state
Montana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,D,D,*R*,*R*,*D*,*D*,*R*,,*R*,*R*,*D*,*D*,*D*,*D*,*D*,*R*,*R*,R,,*D*,*R*,*R*,R,*R*,*R*,*R*,*D*,R,*R*,,*R*,R,R,Montana,https://en.wikipedia.org/wiki/List_of_United_States_presidential_election_results_by_state
Nebraska,,,,,,,,,,,,,,,,,,,,,,,*R*,*R*,*R*,*R*,,R,*R*,R,D,*R*,*R*,D,*D*,*D*,*R*,,*R*,*R*,*D*,*D*,R,R,R,*R*,*R*,R,,*D*,*R*,*R*,R,*R*,*R*,*R*,R,R,*R*,,*R*,R,R,Nebraska,https://en.wikipedia.org/wiki/List_of_United_States_presidential_election_results_by_state
Nevada,,,,,,,,,,,,,,,,,,,,,,*R*,*R*,*R*,*R*,D,,R,*R*,PO,D,D,*R*,D,*D*,*D*,*R*,,*R*,*R*,*D*,*D*,*D*,*D*,*D*,*R*,*R*,*D*,,*D*,*R*,*R*,R,*R*,*R*,*R*,*D*,*D*,*R*,,*R*,*D*,*D*,Nevada,https://en.wikipedia.org/wiki/List_of_United_States_presidential_election_results_by_state
New Hampshire,*GW*,*GW*,*F*,F,,*DR*,F,F,*DR*,*DR*,*Adams*,NR,*D*,*D*,D,,*D*,D,*D*,R,*R*,*R*,*R*,*R*,*R*,*R*,,R,*R*,R,*R*,*R*,*R*,*R*,*D*,*D*,*R*,,*R*,*R*,R,*D*,*D*,*D*,R,*R*,*R*,R,,*D*,*R*,*R*,R,*R*,*R*,*R*,*D*,*D*,*R*,,D,*D*,*D*,New Hampshire,https://en.wikipedia.org/wiki/List_of_United_States_presidential_election_results_by_state
New Jersey,*GW*,*GW*,*F*,F,,*DR*,*DR*,F,*DR*,*DR*,Jackson,NR,*D*,W,*W*,,W,*W*,*D*,*D*,*R*,D,D,*R*,D,D,,*D*,D,*D*,*R*,*R*,*R*,*R*,*D*,R,*R*,,*R*,*R*,*D*,*D*,*D*,*D*,R,*R*,*R*,*D*,,*D*,*R*,*R*,R,*R*,*R*,*R*,*D*,*D*,D,,D,*D*,*D*,New Jersey,https://en.wikipedia.org/wiki/List_of_United_States_presidential_election_results_by_state
New Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*D*,*D*,*R*,,*R*,*R*,*D*,*D*,*D*,*D*,*D*,*R*,*R*,*D*,,*D*,*R*,*R*,R,*R*,*R*,*R*,*D*,*D*,D,,*R*,*D*,*D*,New Mexico,https://en.wikipedia.org/wiki/List_of_United_States_presidential_election_results_by_state
New York,*GW*,*GW*,*F*,*DR*,,*DR*,*DR*,F,*DR*,*DR*,*Adams*,*D*,*D*,*D*,*W*,,*D*,*W*,*D*,R,*R*,*R*,D,*R*,D,*R*,,*D*,*R*,*D*,*R*,*R*,*R*,*R*,*D*,R,*R*,,*R*,*R*,*D*,*D*,*D*,*D*,R,*R*,*R*,*D*,,*D*,D,*R*,*D*,*R*,*R*,D,*D*,*D*,D,,D,*D*,*D*,New York,https://en.wikipedia.org/wiki/List_of_United_States_presidential_election_results_by_state
North Carolina,,*GW*,DR,*DR*,,*DR*,*DR*,*DR*,*DR*,*DR*,Jackson,*D*,*D*,*D*,*W*,,W,*W*,*D*,*D*,SD,,*R*,*R*,D,D,,*D*,D,*D*,D,D,D,D,*D*,*D*,D,,D,*R*,*D*,*D*,*D*,*D*,*D*,D,D,*D*,,*D*,*R*,*R*,*D*,*R*,*R*,*R*,R,R,*R*,,*R*,*D*,R,North Carolina,https://en.wikipedia.org/wiki/List_of_United_States_presidential_election_results_by_state
North Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SP,*R*,*R*,*R*,*R*,*D*,*D*,*R*,,*R*,*R*,*D*,*D*,R,R,R,*R*,*R*,R,,*D*,*R*,*R*,R,*R*,*R*,*R*,R,R,*R*,,*R*,R,R,North Dakota,https://en.wikipedia.org/wiki/List_of_United_States_presidential_election_results_by_state
